syntax-highlighting5 5.110.0-1
systemd 254.5-1
systemd-libs 254.5-1
systemd-resolvconf 254.5-1
systemd-sysvcompat 254.5-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-1
tdb 1.4.9-1
tevent 1:0.15.0-1
texinfo 7.0.3-1
thin-provisioning-tools 1.0.6-1
tldr 3.2.0-1
tmux 3.3_a-7
tofi 0.9.1-2
tpm2-tss 4.0.1-1
traceroute 2.1.3-1
tracker3 3.6.0-1
tree 2.1.1-1
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-hack-nerd 3.0.2-1
tzdata 2023c-2
udisks2 2.10.1-2
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.2-1
usbmuxd 1.1.1-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vid.stab 1.1.1-1
vim 9.0.1882-1
vim-runtime 9.0.1882-1
vlc 3.0.18-16
vmaf 2.3.1-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.264-2
vulkan-icd-loader 1.3.263-1
vulkan-validation-layers 1.3.261.1-1
waybar 0.9.22-1
wayland 1.22.0-1
wayland-protocols 1.32-1
waylock 0.6.2-1
webkit2gtk-4.1 2.42.1-1
webrtc-audio-processing 0.3.1-4
which 2.21-6
wireless_tools 30.pre9-3
wl-clipboard 1:2.2.1-1
wlogout 1.1.1-3
wlroots 0.16.2-2
woff2 1.0.2-4
wofi 1.3-2
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-hyprland 1.1.0-3
xdg-utils 1.1.3+45+g301a1a4-1
xkeyboard-config 2.39-1
xorg-fonts-encodings 1.0.7-1
